"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Hang","FunPlus Phoenix","Support",26,"46%","58%",16,73,197,2.9,"68.7%","5.2%","21.3%",,,,,1.4,,197,"9.4%",,118,"10.1%",,1.4,0.39,0.31
"heal","Team WE","Support",16,"25%","25%",6,52,93,1.9,"70.2%","4.3%","22.5%",,,,,0.9,,148,"8.7%",,92,"8.5%",,1.69,0.51,0.26
"Hope","JD Gaming","ADC",30,"70%","37%",145,60,193,5.6,"68.6%","29.4%","18.6%",,,,,9.2,,608,"25.0%",,321,"25.1%",,0.45,0.14,0.39
"Hoya","ThunderTalk Gaming","Top",10,"50%","50%",20,26,56,2.9,"56.3%","14.8%","22.6%",,,,,7.6,,460,"23.4%",,249,"21.4%",,0.38,0.25,0.25
"huanfeng","Weibo Gaming","ADC",29,"52%","52%",111,44,128,5.4,"64.2%","29.8%","12.9%",,,,,9.4,,527,"22.7%",,315,"26.2%",,0.49,0.14,0.37
"iBoy","Rare Atom","ADC",24,"33%","46%",61,75,118,2.4,"69.4%","23.6%","21.2%",,,,,8.8,,605,"29.7%",,286,"25.0%",,0.4,0.13,0.51
"icon","Bilibili Gaming","Middle",14,"43%","57%",35,38,75,2.9,"67.9%","21.6%","21.0%",,,,,8.7,,530,"25.8%",,267,"23.5%",,0.44,0.2,0.21
"Iwandy","LNG Esports","Support",18,"56%","28%",13,55,153,3,"72.2%","5.7%","26.4%",,,,,1.4,,154,"7.7%",,110,"9.5%",,1.9,0.45,0.37
"JackeyLove","Top Esports","ADC",26,"73%","54%",102,53,163,5,"68.7%","26.4%","21.2%",,,,,8.8,,652,"29.6%",,311,"25.1%",,0.5,0.2,0.56
"Jerry","Oh My God","Support",4,"50%","75%",2,9,38,4.4,"88.9%","4.4%","16.1%",,,,,0.7,,162,"7.6%",,111,"9.8%",,1.87,0.58,0.39
