"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Peter","Nongshim RedForce","Support",1,"0%","0%",0,1,2,2,"66.7%","0.0%","11.1%","0%",-110,-291,-1,0.2,"0.4%",149,"10.2%","6.8%",54,"6.3%",0,1.58,0.36,0.13
"Prince","Liiv SANDBOX","ADC",22,"64%","59%",96,35,92,5.4,"69.9%","35.7%","16.1%","32%",285,246,12.3,10.4,"35.5%",558,"27.8%","29.8%",345,"28.9%",0,0.69,0.16,0.48
"Pyosik","DRX","Jungle",23,"52%","61%",63,46,127,4.1,"70.9%","23.5%","17.9%","30%",104,140,4.2,6.5,"15.8%",272,"12.6%","13.2%",202,"17.7%",2,0.52,0.48,0.48
"Raptor","Fredit BRION","Jungle",3,"33%","33%",3,9,12,1.7,"62.5%","12.5%","29.0%","0%",-104,-8,0.3,5,"13.4%",212,"13.2%","14.3%",162,"15.7%",0,0.43,0.33,0.45
"Rascal","KT Rolster","Top",24,"50%","42%",58,63,126,2.9,"67.2%","21.2%","24.2%","38%",-65,47,-3.2,8.4,"25.8%",452,"21.8%","19.1%",266,"23.1%",0,0.36,0.2,0.3
"Ruler","Gen.G","ADC",22,"86%","41%",95,19,111,10.8,"71.3%","32.9%","14.3%","36%",230,151,-2.5,8.8,"26.6%",603,"26.3%","28.7%",324,"24.7%",0,0.72,0.27,0.58
"SamD","Hanwha Life Esports","ADC",21,"29%","33%",41,61,68,1.8,"63.4%","23.8%","20.6%","38%",-32,2,1.7,8.7,"30.8%",431,"23.6%","24.4%",278,"26.1%",0,0.55,0.16,0.42
"ShowMaker","DWG KIA","Middle",22,"73%","64%",53,26,131,7.1,"66.7%","19.2%","13.9%","18%",-12,20,0.6,9.2,"26.4%",515,"23.3%","24.9%",279,"23.4%",1,0.5,0.26,0.33
"SnowFlower","Nongshim RedForce","Support",2,"0%","50%",0,9,5,0.6,"50.0%","0.0%","25.0%","0%",-172,-59,7.5,1.3,"4.6%",110,"7.1%","7.8%",64,"7.8%",0,1.26,0.46,0.16
"Sw0rd","Fredit BRION","Top",6,"0%","67%",11,19,11,1.2,"52.4%","26.2%","21.6%","0%",-197,-242,-6.8,8.5,"25.3%",522,"29.9%","29.4%",278,"27.1%",0,0.39,0.22,0.24
"Sylvie","Nongshim RedForce","Jungle",4,"0%","50%",7,11,14,1.9,"87.5%","29.2%","16.9%","25%",-69,15,-1.3,5.1,"12.6%",207,"12.7%","14.2%",177,"19.1%",0,0.3,0.41,0.34
"Teddy","Kwangdong Freecs","ADC",23,"35%","48%",64,50,93,3.1,"76.6%","31.2%","18.5%","26%",-220,-164,-17.2,8.1,"27.4%",455,"27.0%","29.9%",271,"25.0%",1,0.92,0.25,0.5
"UmTi","Fredit BRION","Jungle",18,"11%","50%",27,41,61,2.1,"72.7%","22.3%","18.7%","39%",-209,-178,-4.3,5.9,"14.0%",230,"14.9%","15.8%",167,"16.8%",1,0.39,0.37,0.5
"VicLa","KT Rolster","Middle",15,"60%","47%",30,35,93,3.5,"66.5%","16.2%","21.0%","7%",-80,-32,-2.1,8.9,"26.1%",552,"26.2%","27.3%",270,"23.3%",0,0.5,0.3,0.2
"Vsta","Hanwha Life Esports","Support",26,"27%","62%",16,70,132,2.1,"70.5%","7.6%","19.7%","35%",-103,-138,-1.9,1.4,"3.9%",172,"9.6%","8.3%",100,"9.6%",0,1.65,0.48,0.28
"Zeka","DRX","Middle",24,"50%","38%",84,43,117,4.7,"71.0%","29.7%","15.6%","25%",128,-40,1.5,9.5,"29.2%",618,"29.1%","30.1%",296,"25.8%",0,0.47,0.2,0.23
"Zeus","T1","Top",24,"79%","42%",81,54,126,3.8,"67.0%","26.2%","23.0%","21%",250,129,5.7,8.7,"26.0%",595,"28.4%","26.3%",310,"24.7%",0,0.34,0.17,0.2
